episode,agent,total_reward,avg_queue,avg_wait,max_queue
1,DQN,-73.897,0.783,3.775,4.0
1,Fixed,-92.345,0.972,5.383,5.0
2,DQN,-80.875,0.856,4.306,4.0
2,Fixed,-95.668,1.008,5.464,5.0
3,DQN,-77.657,0.822,4.064,5.0
3,Fixed,-101.855,1.072,5.95,5.0
4,DQN,-80.103,0.847,4.281,4.0
4,Fixed,-96.07,1.011,5.633,5.0
5,DQN,-78.94,0.836,4.1,5.0
5,Fixed,-92.04,0.969,5.322,5.0
6,DQN,-76.872,0.814,4.025,5.0
6,Fixed,-88.358,0.931,5.119,5.0
7,DQN,-77.147,0.817,4.053,4.0
7,Fixed,-92.545,0.975,5.328,4.0
8,DQN,-78.817,0.836,3.964,5.0
8,Fixed,-93.875,0.989,5.417,5.0
9,DQN,-77.5,0.819,4.167,4.0
9,Fixed,-93.977,0.989,5.531,5.0
10,DQN,-82.152,0.872,4.058,5.0
10,Fixed,-101.582,1.069,5.925,5.0
